property_id,current_outreach_dispo,proposed_outreach_dispo,action,n_sms_messages_in_thread,jev_choice,jev_confidence,is_suppression_relevant,reason,ledger_generated_at
004f5684-918d-4261-a5a9-9de12080ef47,not_interested,not_interested,CONFIRMED,5,not_interested,0.98,False,Jev agrees with existing label (conf 0.98).,2026-09-20T05:32:11.711755+00:00
0050be1b-1858-424b-9c15-51ec862fc005,nurture,nurture,CONFIRMED,3,nurture,0.51,False,Jev agrees with existing label (conf 0.51).,2026-09-20T05:32:11.711755+00:00
0055da00-56b7-4575-9190-b0800b336dc4,nurture,wrong_number,RECLASSIFY,2,wrong_number,0.95,False,"Jev disagrees with 'nurture', proposes 'wrong_number' (conf 0.95).",2026-09-20T05:32:11.711755+00:00
0064d15b-362a-4b8a-806b-c62ab45678b3,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.62,False,Jev agrees with existing label (conf 0.62).,2026-09-20T05:32:11.711755+00:00
0065f539-540a-4575-bf82-796cb5c7151f,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.97,False,Jev agrees with existing label (conf 0.97).,2026-09-20T05:32:11.711755+00:00
00681434-30b6-4dcd-bff6-37f4a7386494,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
006ac9ec-eee9-4a66-8eb1-287b743bed5c,needs_sequence,nurture,RECLASSIFY,6,nurture,0.98,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.98).",2026-09-20T05:32:11.711755+00:00
006afa84-9821-44c3-a62a-ad07c9325100,wrong_number,not_interested,RECLASSIFY,4,not_interested,0.72,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 0.72).",2026-09-20T05:32:11.711755+00:00
006fa523-c477-4eae-9de0-f1e6466671a1,nurture,nurture,CONFIRMED,4,nurture,0.99,False,Jev agrees with existing label (conf 0.99).,2026-09-20T05:32:11.711755+00:00
0070ce46-7dc2-4c81-8d4e-4ad106a82a5b,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
007495b3-9429-42d8-8af1-b047e6571c88,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
007cbec4-a3e9-4a27-b734-f2a59d814830,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
0081ea06-d142-486c-9fc5-4141e82600b7,needs_sequence,not_interested,RECLASSIFY,4,not_interested,0.99,False,"Jev disagrees with 'needs_sequence', proposes 'not_interested' (conf 0.99).",2026-09-20T05:32:11.711755+00:00
009f7389-2d1f-455d-8bff-3b86f029ab52,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
00b4e60b-0552-469c-b0e3-fa4b1815b95c,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.72,False,Jev agrees with existing label (conf 0.72).,2026-09-20T05:32:11.711755+00:00
00c181ea-ca7f-4376-9039-48841af20f27,needs_sequence,nurture,RECLASSIFY,3,nurture,0.76,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.76).",2026-09-20T05:32:11.711755+00:00
00d0d7b4-616a-4b31-a7d7-b74d56b391b7,dnc,dnc,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
00d21d8a-08ee-42b5-86e9-750c9f7d7940,not_interested,not_interested,CONFIRMED,4,not_interested,0.55,False,Jev agrees with existing label (conf 0.55).,2026-09-20T05:32:11.711755+00:00
00d9b7b4-dceb-41bf-ab46-923315163a8a,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
00de9264-9528-4c2f-9dfc-1ed8d4851f87,nurture,nurture,CONFIRMED,3,nurture,0.65,False,Jev agrees with existing label (conf 0.65).,2026-09-20T05:32:11.711755+00:00
00ded8df-2cae-40bd-beab-8307b8efaa5b,needs_sequence,not_interested,RECLASSIFY,5,not_interested,0.99,False,"Jev disagrees with 'needs_sequence', proposes 'not_interested' (conf 0.99).",2026-09-20T05:32:11.711755+00:00
00df2efd-4a6c-4f29-95d4-11c1edad4164,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
00e86e0f-be5a-43bd-9e1f-33dbe3b84a85,nurture,nurture,HOLD_LOW_SIGNAL,2,unclear,0.5599999999999999,False,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
00e8d3fb-3628-4adb-bd32-91760972f4f0,nurture,nurture,HOLD_LOW_SIGNAL,3,unclear,0.48,False,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
00e9f56c-0c35-4e9f-a743-8eec14462de1,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
00f1198f-ee3c-421b-8dc8-4801b945ecb3,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
00f4530a-428e-4003-a688-73814afae396,needs_sequence,nurture,RECLASSIFY,5,nurture,0.86,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.86).",2026-09-20T05:32:11.711755+00:00
00fb522a-8b76-4a32-a895-53f7805e3437,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.95,False,Jev agrees with existing label (conf 0.95).,2026-09-20T05:32:11.711755+00:00
01056007-c862-43a9-af44-92af30ad2b35,nurture,wrong_number,RECLASSIFY,3,wrong_number,0.77,False,"Jev disagrees with 'nurture', proposes 'wrong_number' (conf 0.77).",2026-09-20T05:32:11.711755+00:00
0106bb87-dd68-491b-bd46-c56bf9644cb5,needs_sequence,nurture,RECLASSIFY,2,nurture,0.87,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.87).",2026-09-20T05:32:11.711755+00:00
011e11f6-309c-40dd-bd0f-b6d206bde73a,wrong_number,not_interested,RECLASSIFY,2,not_interested,1.0,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 1.0).",2026-09-20T05:32:11.711755+00:00
01217eda-ac83-4d30-8edf-0e14cc845542,needs_sequence,nurture,RECLASSIFY,6,nurture,0.84,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.84).",2026-09-20T05:32:11.711755+00:00
012f98e4-805d-4cba-b1d8-74510ca7d098,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
013295fd-37b0-4e38-bcc9-b1c7eaf3a491,wrong_number,wrong_number,CONFIRMED,5,wrong_number,0.87,False,Jev agrees with existing label (conf 0.87).,2026-09-20T05:32:11.711755+00:00
013ce3cf-fb45-49dd-aeeb-ce05b9409259,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
0141476e-95d8-4c0a-8957-26c2af5d0c44,not_interested,not_interested,CONFIRMED,2,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01446403-2fe7-4eb0-a6d3-58f02be524c6,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
0145281e-1e68-49e1-bd1a-fa1363f64ecc,wrong_number,wrong_number,CONFIRMED,2,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
0145f837-e112-4d86-9a13-78a74c5a9057,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
015133c4-7726-42cd-952e-409ef5994408,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
01530f61-14e6-45c0-bed2-5e62c361be74,nurture,nurture,HOLD_LOW_SIGNAL,2,unclear,0.59,False,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
0153e1cd-6b29-4853-9d5b-69546f079666,needs_sequence,nurture,RECLASSIFY,5,nurture,0.63,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.63).",2026-09-20T05:32:11.711755+00:00
015af70e-90a8-4d2f-8a74-b2432c737992,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
016eeaf7-92c7-4cc9-95c0-76c50a6aade8,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
017e586c-76cd-4d3a-a110-b0be00b3fa90,not_interested,not_interested,CONFIRMED,2,not_interested,0.97,False,Jev agrees with existing label (conf 0.97).,2026-09-20T05:32:11.711755+00:00
017eeb7f-892e-4ff2-832c-6fbc2c94fc49,wrong_number,not_interested,RECLASSIFY,2,not_interested,0.44,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 0.44).",2026-09-20T05:32:11.711755+00:00
0183bc0a-35b2-4d77-93b1-2cbe793412a2,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01856112-8124-452c-8c74-502140b3c974,opted_out,wrong_number,RECLASSIFY_REVIEW_SUPPRESSION,2,wrong_number,0.99,True,"Jev disagrees with opted_out, proposes 'wrong_number' (conf 0.99). CHECK: does a separate suppression record need updating before relabeling away from opted_out?",2026-09-20T05:32:11.711755+00:00
01a76a9e-e44d-4e35-85da-dc33ac6df069,nurture,nurture,CONFIRMED,3,nurture,0.81,False,Jev agrees with existing label (conf 0.81).,2026-09-20T05:32:11.711755+00:00
01a9364f-4876-4825-a407-4f1fed9b7330,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.75,False,Jev agrees with existing label (conf 0.75).,2026-09-20T05:32:11.711755+00:00
01b00a76-42d6-46c2-b194-18d595db36cf,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.99,False,Jev agrees with existing label (conf 0.99).,2026-09-20T05:32:11.711755+00:00
01b98a4b-7e4a-4b49-8a81-7d4070b01787,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01bce484-997c-4d9e-9b9c-dce5c93b9595,not_interested,not_interested,CONFIRMED,5,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01c1d2b8-7d82-400d-8049-ec3d45d9794d,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01c4d22e-8103-4b39-a729-50a9f04d4044,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
01c95f8b-b50c-4650-894d-0b77eac125de,not_interested,not_interested,CONFIRMED,4,not_interested,0.72,False,Jev agrees with existing label (conf 0.72).,2026-09-20T05:32:11.711755+00:00
01cb472b-6c76-40b0-ab27-b7611d11ac40,wrong_number,not_interested,RECLASSIFY,4,not_interested,0.47,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 0.47).",2026-09-20T05:32:11.711755+00:00
01cc2df1-2a7f-48ed-8b93-b5fa1679b68f,dnc,dnc,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
01ceed88-664f-4f30-b639-ccb19ebd99d3,not_interested,not_interested,CONFIRMED,4,not_interested,0.91,False,Jev agrees with existing label (conf 0.91).,2026-09-20T05:32:11.711755+00:00
01d10b1a-fa91-434c-8bcd-94ce9b80a6d4,nurture,nurture,CONFIRMED,3,nurture,0.92,False,Jev agrees with existing label (conf 0.92).,2026-09-20T05:32:11.711755+00:00
01d21210-90c7-4e7f-8705-7c60ec8b8ebe,nurture,not_interested,RECLASSIFY,4,not_interested,0.98,False,"Jev disagrees with 'nurture', proposes 'not_interested' (conf 0.98).",2026-09-20T05:32:11.711755+00:00
01d58e3f-c354-4f5e-8480-0f508fd5c600,opted_out,not_interested,RECLASSIFY_REVIEW_SUPPRESSION,2,not_interested,0.64,True,"Jev disagrees with opted_out, proposes 'not_interested' (conf 0.64). CHECK: does a separate suppression record need updating before relabeling away from opted_out?",2026-09-20T05:32:11.711755+00:00
01dab95a-a96a-47e5-986b-ec8816a67ed0,opted_out,opted_out,CONFIRMED,4,opted_out,0.99,True,Jev agrees with existing label (conf 0.99).,2026-09-20T05:32:11.711755+00:00
01e3fe74-09fe-4aa6-b1af-2a494e54d45c,wrong_number,wrong_number,CONFIRMED,2,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01e72cdb-41aa-4067-8504-7ac50fffbe2b,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
01ea8638-7e11-457a-b519-b6ccb86d4b5c,nurture,nurture,CONFIRMED,3,nurture,0.5,False,Jev agrees with existing label (conf 0.5).,2026-09-20T05:32:11.711755+00:00
01ed08d7-db1d-4503-bd84-04c8d909175a,not_interested,not_interested,CONFIRMED,2,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
01f22672-4a5f-4a21-84c6-e99e27473f1a,not_interested,not_interested,CONFIRMED,3,not_interested,0.51,False,Jev agrees with existing label (conf 0.51).,2026-09-20T05:32:11.711755+00:00
0204241b-044e-45a4-bb6a-1d5044972a5b,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.94,False,Jev agrees with existing label (conf 0.94).,2026-09-20T05:32:11.711755+00:00
02046174-3683-4063-8aba-b9428b3a17ed,nurture,nurture,CONFIRMED,3,nurture,0.5,False,Jev agrees with existing label (conf 0.5).,2026-09-20T05:32:11.711755+00:00
0207c9f1-9e90-4515-b5c2-d3da1db7bb68,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
0209a437-0fa4-4b17-8e80-81329410e8e1,needs_sequence,nurture,RECLASSIFY,5,nurture,0.98,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.98).",2026-09-20T05:32:11.711755+00:00
0215b8a1-db6e-4b25-bada-9c396b5847d5,nurture,not_interested,RECLASSIFY,5,not_interested,0.63,False,"Jev disagrees with 'nurture', proposes 'not_interested' (conf 0.63).",2026-09-20T05:32:11.711755+00:00
021e39ba-439e-49ac-91e4-8ab987187897,nurture,nurture,CONFIRMED,3,nurture,0.82,False,Jev agrees with existing label (conf 0.82).,2026-09-20T05:32:11.711755+00:00
02201c96-f1e1-4a6b-8806-e9c0250cdb34,not_interested,not_interested,CONFIRMED,6,not_interested,0.97,False,Jev agrees with existing label (conf 0.97).,2026-09-20T05:32:11.711755+00:00
022d71f3-999d-45b1-8568-c64dacb9803d,nurture,nurture,CONFIRMED,3,nurture,0.6,False,Jev agrees with existing label (conf 0.6).,2026-09-20T05:32:11.711755+00:00
02317ae4-79e4-4c36-92a2-5ab91a58c530,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
023e2a84-e861-441f-9da7-0ec7c2ff072e,nurture,nurture,CONFIRMED,3,nurture,0.54,False,Jev agrees with existing label (conf 0.54).,2026-09-20T05:32:11.711755+00:00
024213d2-5846-4df0-a528-bd705835a17f,not_interested,opted_out,RECLASSIFY,2,opted_out,1.0,False,"Jev disagrees with 'not_interested', proposes 'opted_out' (conf 1.0).",2026-09-20T05:32:11.711755+00:00
0252bba5-5121-465d-abf5-6e0b2dda57fa,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02541685-9063-4571-9826-6517aabe49ce,wrong_number,not_interested,RECLASSIFY,4,not_interested,0.99,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 0.99).",2026-09-20T05:32:11.711755+00:00
0256ec3c-61a6-43fa-b3af-5f4b09e0bf04,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
025cf5be-3da9-4994-8995-50519662cfae,wrong_number,wrong_number,CONFIRMED,2,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
025d1aaa-ba7f-44ad-910d-4ba5f15041a4,needs_sequence,nurture,RECLASSIFY,3,nurture,0.95,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.95).",2026-09-20T05:32:11.711755+00:00
0279c17c-80b9-491b-80db-83000b1bbbcf,dnc,nurture,RECLASSIFY_REVIEW_SUPPRESSION,2,nurture,0.62,True,"No legal language found; text matches 'nurture' (conf 0.62). CHECK: does a separate suppression record need updating, not just outreach_dispo?",2026-09-20T05:32:11.711755+00:00
027dfd1c-bdce-46bb-aa53-3cfce77a4bba,not_interested,nurture,RECLASSIFY,5,nurture,0.89,False,"Jev disagrees with 'not_interested', proposes 'nurture' (conf 0.89).",2026-09-20T05:32:11.711755+00:00
0284b7d6-3e82-4d31-8688-88ae9d41bdf7,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
028c1184-062b-44cc-987d-a2be16b23d21,nurture,nurture,CONFIRMED,5,nurture,0.54,False,Jev agrees with existing label (conf 0.54).,2026-09-20T05:32:11.711755+00:00
02986f81-4391-4e1a-81e7-f20b9ee14721,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
0298e12b-0e3c-4a62-b39f-5c8739c3c4d0,nurture,nurture,CONFIRMED,3,nurture,0.52,False,Jev agrees with existing label (conf 0.52).,2026-09-20T05:32:11.711755+00:00
029f79ec-a607-49e1-bd10-96a21349ba83,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
02a25786-be73-4c65-8693-c083e685198e,dnc,dnc,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
02a285b3-a7c5-4c36-b811-47fd0c1b43c3,not_interested,not_interested,CONFIRMED,6,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02a4c224-dcf4-4ba9-81a6-22aafb25e037,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
02a84ef0-16c2-4dc4-9798-cde7a6e629e3,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02b291f3-543a-4c51-a09e-17ee3d461db1,wrong_number,wrong_number,CONFIRMED,2,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02b33100-d1f3-487e-acd7-e01de83d7cfa,needs_sequence,nurture,RECLASSIFY,13,nurture,0.98,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.98).",2026-09-20T05:32:11.711755+00:00
02b46140-094b-4afe-9581-572d5265dc30,opted_out,opted_out,CONFIRMED,2,opted_out,1.0,True,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02b917ad-638c-4cb6-8f62-70b1d0267d58,wrong_number,wrong_number,CONFIRMED,5,wrong_number,0.94,False,Jev agrees with existing label (conf 0.94).,2026-09-20T05:32:11.711755+00:00
02b92cb4-1684-49d6-a492-fc49db806618,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
02ba900c-0027-4c0b-aa36-285f444fbdd8,wrong_number,wrong_number,CONFIRMED,4,wrong_number,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02bb1ccc-42bf-43c2-a6e8-980657ca280e,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02bb2aaf-42fb-43ac-b8fd-3a06bb20aef4,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
02bcebfa-34cc-4421-8546-379b384e3703,wrong_number,wrong_number,CONFIRMED,6,wrong_number,0.98,False,Jev agrees with existing label (conf 0.98).,2026-09-20T05:32:11.711755+00:00
02c2a81b-8930-4cbf-99f0-787bfe4ff3a7,nurture,nurture,HOLD_LOW_SIGNAL,3,unclear,0.47000000000000003,False,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
02cfee22-1a34-40c3-85d1-5822f447be02,nurture,nurture,CONFIRMED,3,nurture,0.65,False,Jev agrees with existing label (conf 0.65).,2026-09-20T05:32:11.711755+00:00
02d3370d-3009-4055-9eef-69cf8f23a224,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.95,False,Jev agrees with existing label (conf 0.95).,2026-09-20T05:32:11.711755+00:00
02da32d8-325f-4251-8a66-9ee14e34a10f,opted_out,opted_out,HOLD_NO_EVIDENCE,0,unclear,1.0,True,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
02ef7158-6e12-4e39-bdb7-d5d3254b8c3f,dnc,nurture,RECLASSIFY_REVIEW_SUPPRESSION,3,nurture,0.9,True,"No legal language found; text matches 'nurture' (conf 0.9). CHECK: does a separate suppression record need updating, not just outreach_dispo?",2026-09-20T05:32:11.711755+00:00
02f4c04a-9c12-45ac-a256-9957186fb67f,nurture,nurture,CONFIRMED,3,nurture,0.59,False,Jev agrees with existing label (conf 0.59).,2026-09-20T05:32:11.711755+00:00
02fd78d0-96b1-449d-9235-df76457a2fa4,wrong_number,not_interested,RECLASSIFY,4,not_interested,0.92,False,"Jev disagrees with 'wrong_number', proposes 'not_interested' (conf 0.92).",2026-09-20T05:32:11.711755+00:00
02fe91d5-3e5b-40d8-9e88-ebecf323c733,not_interested,not_interested,CONFIRMED,5,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
03026d91-367a-4aab-8a80-17fc5fd53a68,nurture,nurture,HOLD_LOW_SIGNAL,3,unclear,0.46,False,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
03066dd3-8221-46d2-8b35-d9e1496996e4,wrong_number,nurture,RECLASSIFY,2,nurture,0.52,False,"Jev disagrees with 'wrong_number', proposes 'nurture' (conf 0.52).",2026-09-20T05:32:11.711755+00:00
03096930-82b5-4e18-b9f4-68eef56ca1d5,needs_sequence,nurture,RECLASSIFY,5,nurture,0.64,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.64).",2026-09-20T05:32:11.711755+00:00
030bfef8-01f9-47a4-a02d-bc29f95236e7,needs_sequence,nurture,RECLASSIFY,7,nurture,0.99,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.99).",2026-09-20T05:32:11.711755+00:00
