Inventory ID,Existing capability,Source path,Source line,Expected new behavior,Meaningful test scenario,Phase,Source status,New architecture test status,Gap or decision
F11,AI status indicators,src/app/(dashboard)/messages/inbox-thread-list.tsx,210,Preserve existing handled/escalated/review/delivery display only; introduce no AI recommendations.,Deliver existing automation state change through projection; matching indicator/reason changes without rearranging active gesture; verify no Suggest Actions control is introduced.,T2/T3,Source verified,Not run,
F12,Open record / copy links,src/app/(dashboard)/messages/inbox-detail.tsx,475,Keep individual record navigation and copy conversation/record/phone links.,"Inspect prospect versus qualified lead; verify copied canonical conversation URL, correct destination record link and actual thread phone; simulate clipboard failure and show error without claiming copied.",T2/T3,Source verified,Not run,
F13,Call,src/app/(dashboard)/messages/inbox-detail.tsx,494,Retain permitted tel link only; no dialer/bulk-call feature.,"Test valid route, wrong/bad number, permanent lock, contact suppression and failed safety read; only valid case exposes tel with actual thread customer number; intercept link instead of making real call.",T2/T3,Source verified,Not run,
F14,New Message,src/app/(dashboard)/messages/cockpit-view.tsx,410,New Message retains /leads?compose=1 destination; bulk replies remain independent.,Click New Message from Inbox with selected group; assert composer navigation destination and no bulk send or outcome mutation.,T2/T3,Source verified,Not run,
A01,Wrong number,src/app/(dashboard)/messages/dispo-actions.ts,97,Persist existing wrong_number outcome with current guards and follow_up_at clearing; preserve distinction from DNC.,Apply Wrong number to two conversations sharing a property plus one independent property; expect one effect per property and per-step receipts; concurrent outcome edit causes conflict; reply/call become unavailable for affected number.,T4,Source verified,Not run,
A02,Bad / disconnected #,src/app/(dashboard)/messages/dispo-actions.ts,97,Persist existing bad_number outcome with current guards and follow_up_at clearing; preserve distinction from DNC.,Apply Bad/disconnected to two conversations sharing a property plus one independent property; expect one effect per property and per-step receipts; concurrent outcome edit causes conflict; reply/call become unavailable for affected number.,T4,Source verified,Not run,
A03,Not interested,src/app/(dashboard)/messages/dispo-actions.ts,97,Persist existing not_interested outcome with current guards and follow_up_at clearing; preserve distinction from DNC.,Apply Not interested to two conversations sharing a property plus one independent property; expect one effect per property and per-step receipts; concurrent outcome edit causes conflict; do_not_contact is not set simply by this outcome.,T4,Source verified,Not run,
A04,Follow up,src/app/(dashboard)/messages/dispo-actions.ts,97,Follow up sets nurture and clears follow_up_at; no reminder creation.,"Start with a dated follow_up_at; apply Follow up and assert nurture plus null date, no new task; saved outcome+owner performs both steps without reselection.",T4,Source verified,Not run,
A05,Needs sequence,src/app/(dashboard)/messages/dispo-actions.ts,97,Needs sequence remains needs_sequence outcome only; actual enrollment stays gated/outside this implementation.,"Apply to selected properties; assert outcome and receipt, no sequence_enrollments or step-run insertion and no outbound message; UI never says Enrolled.",T4,Source verified,Not run,
A06,SMS opt-out,src/app/(dashboard)/messages/dispo-actions.ts,97,Preserve SMS opt-out consent/contact effects and existing pause integration; expose partial failure accurately.,"Apply opted_out in fixture and verify canonical contact flags, consent event, existing enrollment pause side effect; fail post-outcome consent stage and verify receipt distinguishes persisted outcome from incomplete side effect; retry does not duplicate event.",T4,Source verified; identified gap unresolved,Not run,Existing multi-step action is not atomic; exact recovery adapter and durable step boundaries remain implementation work.
A07,Permanent DNC unavailable here,src/app/(dashboard)/messages/inbox-detail.tsx,207,Permanent DNC remains visibly unavailable/gated; no apology+DNC executable shortcut.,Attempt UI and crafted saved-action definition for permanent DNC; no enabled action or synthetic success; existing locked record remains protected.,T4,Source verified,Not run,
A08,Move to Lead,src/app/(dashboard)/messages/dispo-actions.ts,273,Move to Lead uses existing qualification; bulk qualification does not open a page per target.,"Promote prospect and already-qualified record together; verify only eligible transition/new qualification event, correct item result and no multiple navigation; single Open record remains usable.",T4,Source verified,Not run,
A09,Book appt,src/components/appointments/book-appointment-action.ts,269,Keep individual booking with current date/time/duration/assignee/note and timezone guards; no bulk booking.,Inspect one conversation while group selected; open appointment for inspected property only; test overlap and DST-invalid input; successful fixture booking creates exactly one appointment through existing RPC.,T4,Source verified,Not run,
A10,Assign to me / teammate,src/app/(dashboard)/leads/actions.ts,2267,"Assign active eligible owner to linked property, deduplicating properties for bulk.",Assign self then teammate across duplicate conversation/property targets; inactive or other-org assignee rejected; concurrent old-UI reassignment produces conflict rather than overwrite; labels handle historical assignee.,T4,Source verified,Not run,
A11,Unassign,src/app/(dashboard)/leads/actions.ts,2267,Unassign is the same guarded ownership mutation with null target.,Unassign a selected assigned property and an already-unassigned one; assert null owner and truthful per-item results; reject permanent lock and membership revocation; no outcome mutation.,T4,Source verified,Not run,
A12,Confirm Sandra disposition,src/app/(dashboard)/messages/dispo-actions.ts,54,Existing individual confirmation acknowledges an already-applied AI disposition; no bulk review extension.,"Show pending review with source evidence outside newest 100 messages; confirm and verify review state only; concurrent supersession reports superseded, not successful new outcome application.",T4,Source verified,Not run,
A13,Correct an AI disposition,supabase/migrations/20260827110000_ai_disposition_reviews.sql,99,Correct with ordinary allowed disposition; existing trigger supersedes pending review.,Change outcome of reviewed property through old and new paths; pending review becomes superseded once with existing event semantics; unrelated property review remains pending.,T4,Source verified,Not run,
R01,Write/edit a reply,src/app/(dashboard)/leads/[id]/inline-reply.tsx,41,Preserve text editing and 1600-character guard; bulk uses exact reviewed recipients and content.,"Test blank,1600 and 1601 characters and group of 51; eligible <=50 preview can edit text/remove recipient; selection change never silently changes prepared recipients; cancel leaves prior outcome/owner committed.",T5,Source verified,Not run,
R02,Insert a template,src/app/(dashboard)/leads/[id]/inline-reply.tsx,172,Keep searchable template insertion/rendering; bulk renders per recipient with full review.,Pick template with existing draft then cancel replacement; accept replacement and resolve two recipients with different names; stale first template fetch cannot overwrite later selection; unresolved placeholders prevent approval.,T5,Source verified; identified gap unresolved,Not run,"Organization template catalog/content and precise unresolved-variable behavior require fixture choices, not invented taxonomy."
R03,Send SMS / Cmd-Ctrl-Enter,src/app/(dashboard)/leads/[id]/inline-reply.tsx,76,Send and Cmd/CtrlEnter use reviewed authorized route; durable receipt distinguishes acceptance from delivery.,Issue keyboard and button duplicate submission with same request; one logical send; provider timeout after dispatch displays uncertainty without resend; definitive-unsent retry uses new approved attempt; no real provider call in fixture.,T5,Source verified,Not run,
R04,Use the conversation's reply route,src/app/(dashboard)/messages/inbox-detail-data.ts,180,Use actual conversation business/customer route and matching saved homeowner number; no sender picker.,"Two routes sharing contact must preview different From/To; unsaved number, agent-only context, landline or missing authoritative route excluded; duplicate normalized destination cannot receive two unintended replies.",T5,Source verified,Not run,
R05,Restriction and route-change handling,src/app/(dashboard)/leads/[id]/inline-reply.tsx,41,Retain individual draft while mounted through temporary route/safety suspension; current safety remains authoritative.,"Type draft; suspend route then restore same mounted composer; text remains, Send disabled during suspension and never auto-sends; logout/access removal clears inaccessible data; do not assert cross-conversation persistence.",T5,Source verified,Not run,
U01,View unknown sender thread,src/app/(dashboard)/messages/actions.ts,437,"Keep individual unknown history inspection with explicit unknown identity, no inferred known-conversation merge.",Load sender group and simulate load failure/retry; verify messages shown come from its authorized sender scope; compare 201-row history and bidirectional fixture against documented existing limitation.,T2/T4,Source verified; identified gap unresolved,Not run,"Current query is SMS from_address, oldest-first limit200; it is not full bidirectional history. Any change to completeness/order requires explicit design decision."
U02,Merge with existing contact,src/lib/messages/triage.ts,33,"Match one unknown sender to existing contact, preserving slot/collision validation.","Contact already has sender phone versus one free slot versus all slots occupied; verify existing slot reuse, free slot addition or explicit failure; attach only authorized unmatched messages and reconcile selection IDs.",T2/T4,Source verified,Not run,
U03,Merge with existing property,src/lib/messages/triage.ts,237,Merge one sender into selected property with chosen homeowner/agent role.,Test empty role slot and role occupied by another contact; only valid mapping links contact/property/messages; no blanket merge of multiple unrelated unknown targets.,T2/T4,Source verified,Not run,
U04,Create new lead,src/lib/messages/triage.ts,135,"Keep individual contact/property creation; current property status is new_lead, not an inferred outcome; navigate resulting record.",Supply valid contact/address/state then invalid required fields; successful operation links sender to created entities once; failure does not display created record success; no bulk creation shortcut.,T2/T4,Source verified,Not run,
U05,Dismiss unknown sender,src/lib/messages/triage.ts,421,Bulk dismiss freezes exact eligible message IDs; hides unknown work without deletion/DNC.,Capture sender messages then add later inbound before execution; dismiss only frozen IDs; later inbound keeps/reopens bucket; verify source rows remain and consent/contact flags unchanged.,T2/T4,Source verified; identified gap unresolved,Not run,Root decision: new bulk path freezes authorized unmatched inbound SMS IDs and dismissal state; do not broaden to other channels/directions or later arrivals. Legacy individual helper unchanged; see t2-parity-gaps.md.
U06,Restore dismissed sender,src/lib/messages/triage.ts,441,Bulk restore freezes applicable dismissed IDs and restores them without changing identity.,Capture dismissed IDs then introduce another separately dismissed arrival; restore captured set only; count/latest classification matches canonical source and no message is recreated.,T2/T4,Source verified; identified gap unresolved,Not run,Root decision: new bulk path freezes authorized unmatched inbound SMS IDs and dismissal state; do not broaden to other channels/directions or later arrivals. Legacy individual helper unchanged; see t2-parity-gaps.md.
U07,Resolve known contact to an existing property,src/lib/messages/resolve.ts,60,Known contact without property resolves individually to valid existing property.,Choose candidate with permitted role then occupied/cross-org candidate; only valid mapping succeeds; canonical conversation may change and selection/active identity reconciles without broadening target set.,T2/T4,Source verified,Not run,
U08,Create property and resolve,src/app/(dashboard)/messages/actions.ts,382,Create property and resolve the existing contact individually.,"Create valid property for unresolved contact; verify role/contact linkage and navigation; inject later resolution failure and verify compensation/result truthfulness, not a phantom successful destination.",T2/T4,Source verified,Not run,
O01,Inspect queued message cards,src/app/(dashboard)/messages/queue-panel.tsx,36,Regression only: keep existing queued-card body/contact/route/status display.,"With new capture enabled, inspect fixture queued cards with and without linked contact/property; compare displayed fields and existing controls to baseline; no Inbox redesign elements injected.",T6,Source verified,Not run,
O02,Send next,src/app/(dashboard)/messages/queue-panel.tsx,276,Regression only: Send next releases existing next eligible queued item.,Seed ordered queued items; invoke Send next with provider stub; same baseline item releases once and UI updates; compare behavior with capture disabled/enabled.,T6,Source verified,Not run,
O03,Send one queued message,src/app/(dashboard)/messages/actions.ts,48,Regression only: per-item send uses existing release pipeline and restrictions.,Select a non-first queued card Send; verify only that ID submitted; already-released and suppressed fixtures retain current rejection/results; new triggers do not duplicate send.,T6,Source verified,Not run,
O04,Start / pause auto-send,src/app/(dashboard)/messages/queue-panel.tsx,341,Regression only: existing auto-send start/pause cadence behavior unchanged.,"Fake timers and provider stub: start sends immediately, subsequent tick sends next, pause prevents later ticks; unrelated Inbox projection updates do not reset cadence or start a second interval.",T6,Source verified,Not run,
O05,Set cadence,src/app/(dashboard)/messages/queue-panel.tsx,51,"Regression only: preserve 5–300 second bounds,15 default and local cadence persistence.",Load absent/invalid/stored cadence values and test clamp; set cadence then remount; running auto-send disables cadence editing; no setting migration.,T6,Source verified,Not run,
O06,Edit queued text / save / cancel,src/app/(dashboard)/messages/actions.ts,68,Regression only: queued edit trims/validates text and preserves save/cancel plus status guard.,Edit queued body then cancel leaves source unchanged; save valid text persists; empty/1601 rejected; concurrent release before save returns not-queued instead of editing sent message.,T6,Source verified,Not run,
O07,Delete queued message,src/app/(dashboard)/messages/actions.ts,129,Regression only: delete only queued record and retain existing audit effect.,Delete queued fixture and check message removal/activity event; concurrent release makes delete fail without removing sent record; new summary capture handles deletion without altering audit.,T6,Source verified,Not run,
O08,Load more queue rows,src/app/(dashboard)/messages/actions.ts,633,Regression only: existing queue cursor pagination and load-more merge unchanged.,Seed 101+queued rows including tied timestamps; fetch 100 then next page with canonical cursor; no duplicates/skips under baseline stable fixture and no unbounded Inbox history fetch added.,T6,Source verified,Not run,
O09,Queue totals and timing,src/app/(dashboard)/messages/queue-stats-banner.tsx,1,Regression only: preserve queue totals/timing display and current refresh semantics.,Return known queued totals and timestamps through existing stats endpoint; advance clock and update queue; compare banner/table recovery with baseline; stale response must not overwrite newer stats.,T6,Source verified,Not run,
O10,Recover failed queue reads,src/app/(dashboard)/messages/queue-panel.tsx,93,Regression only: keep failure state and explicit queue-read retry without silent empty-success.,"Fail initial/load-more/stats read separately then recover; retain existing rows, show correct retry and load remaining rows once; failed corrective refresh does not spin indefinitely.",T6,Source verified,Not run,
